k,Re(c_k),Im(c_k)
-9.930000000000000000e+02,4.854205485214013391e-07,-5.276881801005283562e-07
-9.920000000000000000e+02,6.961683133281540512e-07,1.781553024859158091e-07
-9.910000000000000000e+02,1.348165684317693784e-06,4.039452735595032385e-07
-9.900000000000000000e+02,5.114478753963250333e-07,-3.890881689848753539e-07
-9.890000000000000000e+02,-8.253290623989856896e-08,-1.064914110552377612e-06
-9.880000000000000000e+02,1.430403094644107885e-06,-1.034969080861825432e-06
-9.870000000000000000e+02,1.811516670800490236e-07,4.770839672274944398e-07
-9.860000000000000000e+02,5.374766541517007998e-07,3.513908022883681544e-07
-9.850000000000000000e+02,1.234481558402714205e-06,7.343212931992229488e-07
-9.840000000000000000e+02,-2.848865732462671149e-08,3.121524019528923460e-07
-9.830000000000000000e+02,1.165188601896456394e-06,-1.300186991695251196e-06
-9.820000000000000000e+02,6.985878898182973308e-07,-3.964654594924561619e-07
-9.810000000000000000e+02,1.936148029887079427e-07,-4.074370922999606117e-07
-9.800000000000000000e+02,4.403634379132305649e-07,-6.468187725910208487e-08
-9.790000000000000000e+02,-6.648741275534818598e-08,6.621364068914125083e-07
-9.780000000000000000e+02,1.012920467128458363e-06,-5.100081827400827772e-07
-9.770000000000000000e+02,1.115017314159809109e-06,2.451226930747706046e-08
-9.760000000000000000e+02,5.028717371234213331e-07,3.248839080458292700e-07
-9.750000000000000000e+02,-2.072113752893216514e-07,-1.314145493635105735e-06
-9.740000000000000000e+02,7.309989716630964016e-07,-8.314549674714452132e-07
-9.730000000000000000e+02,1.732174542637778848e-06,5.354566539178935930e-07
-9.720000000000000000e+02,4.306434028004057449e-07,4.907269225468726933e-07
-9.710000000000000000e+02,7.829381465191776677e-07,3.784560671827022960e-07
-9.700000000000000000e+02,5.267418224238636071e-07,-7.941488079233839290e-07
-9.690000000000000000e+02,4.215806468622310555e-07,-9.219082742023499907e-07
-9.680000000000000000e+02,5.855135456477608778e-07,1.956970880536020550e-07
-9.670000000000000000e+02,-2.872991467110907874e-07,-2.068960119361193352e-07
-9.660000000000000000e+02,8.323681188402097102e-07,4.112275818004575405e-07
-9.650000000000000000e+02,8.595117668017095895e-07,2.635404482325946914e-07
-9.640000000000000000e+02,1.031703934203107367e-06,-2.855452792908377488e-07
-9.630000000000000000e+02,9.275476183152975914e-07,-1.138569295185457540e-07
-9.620000000000000000e+02,-2.560453866231899439e-07,-1.005671553452784850e-06
-9.610000000000000000e+02,4.376399103650356094e-07,-3.099605314040555456e-07
-9.600000000000000000e+02,1.157388431097187067e-07,-4.615220870407964085e-07
-9.590000000000000000e+02,1.254683707487081541e-06,-1.905489016417599712e-07
-9.580000000000000000e+02,1.941276815926396351e-06,1.230576924514265741e-06
-9.570000000000000000e+02,-1.846728451738066830e-07,-8.652701716971745050e-08
-9.560000000000000000e+02,5.382519506212757690e-07,-8.253215108508673127e-07
-9.550000000000000000e+02,9.767669621243155534e-07,-7.375794741907732227e-07
-9.540000000000000000e+02,3.632615348836476315e-08,5.880385141282084682e-08
-9.530000000000000000e+02,5.602367043215128494e-07,4.740447114414406615e-07
-9.520000000000000000e+02,5.139384686331813310e-07,-2.668499753849098229e-07
-9.510000000000000000e+02,7.870372620070897776e-07,-1.628413749661341463e-07
